,_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
0,0ea134b1f163fdbef419fa243c003e07,1-de6b0717759c54b156edb3d57ffcb157,2018-7-5,Campo Belo,-23.6188,-46.6823,24877,10,49,38,12,7,16,37,11,REABASTECER,15305
1,0ea134b1f163fdbef419fa243c006b43,1-7483d4e06fedb9f75c2dbc78865708aa,2018-5-9,República,-23.5436,-46.6434,110704,54,33,49,23,43,39,21,6,REABASTECER,6609
2,0ea134b1f163fdbef419fa243c0077a4,1-9c59ef71420376a790fec8ad3880ee45,2018-12-7,Tatuapé,-23.5402,-46.5765,67821,6,56,45,36,40,40,37,29,REABASTECER,6097
3,0ea134b1f163fdbef419fa243c008dca,1-4158d9e22fbc7b4d03e5f454160f1698,2018-8-22,Campo Belo,-23.6188,-46.6823,25667,50,33,36,43,37,33,43,36,NORMAL,15352
4,0ea134b1f163fdbef419fa243c008e48,1-74445e4a69e69fc32283064e8fa3a27a,2018-8-30,Campo Belo,-23.6188,-46.6823,26728,62,58,42,16,7,43,13,4,NORMAL,15360
5,0ea134b1f163fdbef419fa243c009dcd,1-f59e2ddfb6733986ee04f60ecb94e01b,2018-12-25,Tatuapé,-23.5402,-46.5765,70523,19,4,40,21,8,26,9,18,REABASTECER,6115
6,0ea134b1f163fdbef419fa243c00df47,1-ebac1d98dae9b319da7d214296cac40d,2019-2-13,Tatuapé,-23.5402,-46.5765,68903,62,23,60,9,30,32,6,43,REABASTECER,6163
7,0ea134b1f163fdbef419fa243c022458,1-844f4ff88f179d9e159fedff267d2cc2,2019-9-18,Tatuapé,-23.5402,-46.5765,69443,45,38,18,4,11,28,43,5,NORMAL,6378
8,0ea134b1f163fdbef419fa243c023442,1-658daed3aff724853c719c559b45eddc,2019-3-8,República,-23.5436,-46.6434,110639,73,43,16,15,38,26,38,43,NORMAL,6908
9,0ea134b1f163fdbef419fa243c02421d,1-9457811d3c3e65bdc0b2a04559d5dcc4,2019-6-3,Campo Belo,-23.6188,-46.6823,26599,25,51,36,31,24,23,43,43,NORMAL,15633
10,0ea134b1f163fdbef419fa243c025a94,1-34bb879ccb8cce153b59dc8c15a1908b,2019-10-18,Tatuapé,-23.5402,-46.5765,69068,11,29,8,14,10,33,12,16,REABASTECER,6408
11,0ea134b1f163fdbef419fa243c0267c4,1-0b9682ca867d503857d80a3a82102640,2019-11-17,Tatuapé,-23.5402,-46.5765,67452,75,55,9,8,39,35,23,31,NORMAL,6437
12,0ea134b1f163fdbef419fa243c0275ef,1-425220598394fbe204e1f73da76aa74f,2019-12-3,Tatuapé,-23.5402,-46.5765,67249,86,8,24,39,17,34,43,15,REABASTECER,6453
13,0ea134b1f163fdbef419fa243c028aa8,1-d4a0f88be2f5fa6e2c7daf31c9b5f737,2019-12-7,Tatuapé,-23.5402,-46.5765,70709,42,44,60,25,43,22,25,39,NORMAL,6457
14,0ea134b1f163fdbef419fa243c02a2c1,1-1cd28e1162b8501e8449f24022a5c247,2019-5-28,República,-23.5436,-46.6434,108990,49,36,50,16,24,29,8,34,NORMAL,6988
15,0ea134b1f163fdbef419fa243c02b441,1-1a6e7e27cdafd4c7d9a75ff4572e76b5,2019-6-19,República,-23.5436,-46.6434,107583,86,36,31,27,24,38,40,30,NORMAL,7009
16,0ea134b1f163fdbef419fa243c033d38,1-6cc719a10b27b4bf42842dbe7ec5a110,2018-4-6,República,-23.5436,-46.6434,108649,33,51,19,9,40,8,5,9,REABASTECER,6576
17,0ea134b1f163fdbef419fa243c039b7f,1-0901a4e6240e085b56faca1af8e1b9ff,2018-3-21,Eucaliptos,-23.61,-46.6686,22828,9,24,55,39,15,16,16,25,REABASTECER,15921
18,0ea134b1f163fdbef419fa243c0421aa,1-a6540ad38c4ed198c3326f15981edfa3,2018-10-16,República,-23.5436,-46.6434,107355,55,25,24,36,28,20,9,12,NORMAL,6766
19,0ea134b1f163fdbef419fa243c0435fa,1-0a392dd8094e74389e8689a25bb4a92c,2018-4-4,Higienópolis-Mackenzie,-23.5488,-46.6519,93304,14,13,18,22,21,10,6,1,REABASTECER,7294
