,row,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
0,15305,2018-7-5,Campo Belo,-236.188,-466.823,24877,10,49,38,12,7,16,37,11,REABASTECER
1,6609,2018-5-9,República,-235.436,-466.434,110704,54,33,49,23,43,39,21,6,REABASTECER
2,6097,2018-12-7,Tatuapé,-235.402,-465.765,67821,6,56,45,36,40,40,37,29,REABASTECER
3,15352,2018-8-22,Campo Belo,-236.188,-466.823,25667,50,33,36,43,37,33,43,36,NORMAL
4,15360,2018-8-30,Campo Belo,-236.188,-466.823,26728,62,58,42,16,7,43,13,4,NORMAL
5,6115,2018-12-25,Tatuapé,-235.402,-465.765,70523,19,4,40,21,8,26,9,18,REABASTECER
6,6163,2019-2-13,Tatuapé,-235.402,-465.765,68903,62,23,60,9,30,32,6,43,REABASTECER
7,6378,2019-9-18,Tatuapé,-235.402,-465.765,69443,45,38,18,4,11,28,43,5,NORMAL
8,6908,2019-3-8,República,-235.436,-466.434,110639,73,43,16,15,38,26,38,43,NORMAL
9,15633,2019-6-3,Campo Belo,-236.188,-466.823,26599,25,51,36,31,24,23,43,43,NORMAL
10,6408,2019-10-18,Tatuapé,-235.402,-465.765,69068,11,29,8,14,10,33,12,16,REABASTECER
11,6437,2019-11-17,Tatuapé,-235.402,-465.765,67452,75,55,9,8,39,35,23,31,NORMAL
12,6453,2019-12-3,Tatuapé,-235.402,-465.765,67249,86,8,24,39,17,34,43,15,REABASTECER
13,6457,2019-12-7,Tatuapé,-235.402,-465.765,70709,42,44,60,25,43,22,25,39,NORMAL
14,6988,2019-5-28,República,-235.436,-466.434,108990,49,36,50,16,24,29,8,34,NORMAL
15,7009,2019-6-19,República,-235.436,-466.434,107583,86,36,31,27,24,38,40,30,NORMAL
16,6576,2018-4-6,República,-235.436,-466.434,108649,33,51,19,9,40,8,5,9,REABASTECER
17,15921,2018-3-21,Eucaliptos,-23.61,-466.686,22828,9,24,55,39,15,16,16,25,REABASTECER
18,6766,2018-10-16,República,-235.436,-466.434,107355,55,25,24,36,28,20,9,12,NORMAL
19,7294,2018-4-4,Higienópolis-Mackenzie,-235.488,-466.519,93304,14,13,18,22,21,10,6,1,REABASTECER
20,6972,2019-5-12,República,-235.436,-466.434,108978,38,51,32,21,43,4,32,15,NORMAL
21,7505,2018-11-5,Higienópolis-Mackenzie,-235.488,-466.519,91896,75,22,65,33,19,24,17,28,NORMAL
22,7522,2018-11-22,Higienópolis-Mackenzie,-235.488,-466.519,89747,86,21,7,20,30,17,36,43,NORMAL
